Centrality, Gamma112_EPD, Gamma112_EPD_err, Gamma132_EPD, Gamma132_EPD_err, Gamma112_EPD1, Gamma112_EPD1_err, Gamma132_EPD1, Gamma132_EPD1_err, Gamma112_EPD_ESE, Gamma112_EPD_ESE_err, Gamma132_EPD_ESE, Gamma132_EPD_ESE_err, Gamma112_EPD1_ESE, Gamma112_EPD1_ESE_err, Gamma132_EPD1_ESE, Gamma132_EPD1_ESE_err, kappa112_EPD, kappa112_EPD_err, kappa132_EPD, kappa132_EPD_err, kappa112_EPD1, kappa112_EPD1_err, kappa132_EPD1, kappa132_EPD1_err, kappa112_EPD_ESE, kappa112_EPD_ESE_err, kappa132_EPD_ESE, kappa132_EPD_ESE_err, kappa112_EPD1_ESE, kappa112_EPD1_ESE_err, kappa132_EPD1_ESE, kappa132_EPD1_ESE_err
0, -0.00308498, 0.00334563, 0.00151803, 0.00213956, 0.0641181, 0.10145, -0.00103961, 0.0941579, 0.283521, 0.3068, 0.181167, 0.13048, 971.935, 11259.9, 0.725248, 2.66957, -0.0580852, 0.0636138, 0.0285821, 0.04052, 4.14247, 7.05056, -0.0671657, 6.08339, 5.33826, 5.83373, 3.41108, 2.5113, 62793.7, 728534, 46.856, 174.959
1, 0.00876388, 0.0295216, 0.00603555, 0.0188791, -0.0313568, 0.02178, -0.0452422, 0.0200712, -0.0520865, 0.0248204, -0.0255528, 0.017728, 0.0157639, 0.0307922, 0.0278385, 0.0214158, 0.286382, 0.965307, 0.197227, 0.617377, -2.47753, 1.85789, -3.57462, 1.88037, -1.70206, 0.836466, -0.835002, 0.587934, 1.24552, 2.45826, 2.19954, 1.80269
2, 0.00646055, 0.00999717, -0.0123447, 0.00639244, 0.00220078, 0.00646928, -0.00260902, 0.00593438, -0.0106566, 0.0104593, -0.00885628, 0.00738128, 0.00853097, 0.00934861, 0.007745, 0.00659803, 0.48557, 0.755405, -0.927817, 0.502975, 0.327505, 0.965067, -0.388258, 0.886715, -0.80094, 0.796543, -0.665631, 0.564953, 1.26952, 1.41547, 1.15256, 1.01006
3, -0.00175009, 0.00369125, 0.0017488, 0.00236399, 0.000871062, 0.00253672, 0.000784541, 0.00231547, -0.00496338, 0.00400753, -0.00479033, 0.0028305, -0.00645494, 0.0037263, -0.00760584, 0.00263026, -5.29239, 25.7993, 5.28848, 24.3168, 4.46425, 23.5386, 4.02082, 21.2879, -15.0096, 67.0694, -14.4863, 64.2383, -33.082, 146.66, -38.9804, 171.867
4, 0.00479397, 0.00163709, 0.000395134, 0.00105024, 0.00246771, 0.00124841, -0.00178568, 0.00113532, -0.00075773, 0.00159147, 0.000811137, 0.00112391, -0.00304772, 0.00160954, 0.000382531, 0.0011353, -0.6527, 0.23723, -0.0537976, 0.143147, -0.495425, 0.259012, 0.358497, 0.232781, 0.103165, 0.217059, -0.110437, 0.153636, 0.611868, 0.33306, -0.076798, 0.228151
5, -0.00241637, 0.000908626, -0.00105055, 0.000583786, -0.00254397, 0.00081726, -0.00157474, 0.000740234, 0.000628787, 0.000947341, 1.79648e-05, 0.000668597, 0.000485245, 0.00112514, 0.000328058, 0.000792789, 0.182514, 0.0690637, 0.0793502, 0.0442223, 0.263263, 0.0856639, 0.162962, 0.0770657, -0.0474938, 0.0715831, -0.00135692, 0.0505007, -0.0502156, 0.116464, -0.0339491, 0.0820606
6, -0.00105137, 0.00062609, -0.000235458, 0.00040246, -0.000413235, 0.000749235, -0.000551846, 0.000675903, 0.00067819, 0.000711908, 0.000902985, 0.00050195, 3.72573e-05, 0.00112814, 0.0020366, 0.000793857, 0.103291, 0.0615667, 0.0231325, 0.0395439, 0.050889, 0.0922822, 0.0679586, 0.0832667, -0.0666284, 0.0699618, -0.0887132, 0.0493662, -0.00458815, 0.138929, -0.250803, 0.0981179
7, -0.00273366, 0.000889516, -0.00078982, 0.0005714, -0.00269532, 0.00169026, -0.00422061, 0.0015206, -0.000285958, 0.00116901, -0.000125474, 0.000823996, 0.00232883, 0.00293307, 0.00082978, 0.00206175, 0.502502, 0.164056, 0.145185, 0.105106, 0.550526, 0.345825, 0.862071, 0.31218, 0.0525648, 0.214891, 0.0230647, 0.151468, -0.47567, 0.599341, -0.169485, 0.421164
8, -0.00326992, 0.00123517, -0.000551345, 0.000792618, -0.00498933, 0.00449094, -0.0032245, 0.00403231, 0.000140832, 0.00184241, 0.00193218, 0.00129674, 0.0184264, 0.00889417, -0.000766845, 0.00624919, 2.12469, 0.804082, 0.358246, 0.515084, 3.0079, 2.70905, 1.94394, 2.4317, -0.0915078, 1.19714, -1.25547, 0.843081, -11.1087, 5.37305, 0.462306, 3.76746
