Centrality, Gamma112_EPD, Gamma112_EPD_err, Gamma132_EPD, Gamma132_EPD_err, Gamma112_EPD1, Gamma112_EPD1_err, Gamma132_EPD1, Gamma132_EPD1_err, Gamma112_EPD_ESE, Gamma112_EPD_ESE_err, Gamma132_EPD_ESE, Gamma132_EPD_ESE_err, Gamma112_EPD1_ESE, Gamma112_EPD1_ESE_err, Gamma132_EPD1_ESE, Gamma132_EPD1_ESE_err, kappa112_EPD, kappa112_EPD_err, kappa132_EPD, kappa132_EPD_err, kappa112_EPD1, kappa112_EPD1_err, kappa132_EPD1, kappa132_EPD1_err, kappa112_EPD_ESE, kappa112_EPD_ESE_err, kappa132_EPD_ESE, kappa132_EPD_ESE_err, kappa112_EPD1_ESE, kappa112_EPD1_ESE_err, kappa132_EPD1_ESE, kappa132_EPD1_ESE_err
0, -0.00127523, 0.00316978, 0.000840504, 0.00202713, -0.0269615, 0.0960643, 0.0056463, 0.0891668, 0.198166, 0.219911, 0.174575, 0.116544, 799.236, 29275.4, -5310.6, 148450, -0.0248958, 0.0619975, 0.0164089, 0.0396531, -1.80823, 6.53161, 0.378682, 5.98439, 3.86871, 4.33318, 3.40816, 2.33325, 53602.5, 1.96367e+06, -356167, 9.95834e+06
1, 0.0178156, 0.0279567, -0.00987469, 0.0178809, -0.0189525, 0.0206405, -0.0575092, 0.0190071, -0.049676, 0.0234597, -0.027357, 0.0167427, 0.00158421, 0.0305099, 0.0198355, 0.0206361, 0.632183, 0.994881, -0.350401, 0.635866, -1.55564, 1.7457, -4.72042, 2.01626, -1.76274, 0.858454, -0.970756, 0.605226, 0.130034, 2.50453, 1.62812, 1.75018
2, 0.0014841, 0.00947023, -0.00625271, 0.00605575, 0.00137848, 0.00612961, 0.000311588, 0.00562265, -0.00968154, 0.00992214, -0.00570378, 0.0070077, 0.00835508, 0.00887519, 0.00719357, 0.00626652, 0.10511, 0.670883, -0.442839, 0.433505, 0.188308, 0.838083, 0.0425645, 0.768125, -0.685681, 0.709478, -0.403962, 0.499636, 1.14135, 1.23122, 0.982679, 0.875727
3, -0.00284286, 0.00349691, 0.00160999, 0.00223963, 0.00306626, 0.00240383, 0.00264353, 0.00219413, -0.00477509, 0.00381, -0.00467726, 0.00269112, -0.0088872, 0.0035423, -0.00865838, 0.00250231, -3.55566, 7.47707, 2.01367, 4.43194, 6.45062, 12.1166, 5.56131, 10.5556, -5.97238, 11.2458, -5.85002, 10.53, -18.6964, 32.7723, -18.215, 31.5346
4, 0.00294074, 0.00155033, 0.00165894, 0.000994654, 0.00279278, 0.00118264, -0.00216959, 0.0010753, -0.00113109, 0.00151609, 0.000903811, 0.00107071, -0.00327009, 0.00153337, 0.000442223, 0.00108178, -0.380589, 0.205062, -0.214699, 0.130925, -0.530434, 0.233308, 0.412071, 0.210028, 0.146386, 0.196887, -0.116971, 0.13918, 0.62109, 0.300452, -0.0839916, 0.205705
5, -0.00250935, 0.000859634, -0.000749128, 0.000552324, -0.00283187, 0.000773393, -0.000425416, 0.000700408, 0.000880424, 0.000904182, 0.000157636, 0.000638143, 0.000472732, 0.00107393, 0.000414827, 0.000756774, 0.199804, 0.0689515, 0.0596484, 0.0440483, 0.30608, 0.0850171, 0.0459808, 0.075739, -0.0701027, 0.0720536, -0.0125516, 0.0508141, -0.051095, 0.116104, -0.0448364, 0.081827
6, -0.000899912, 0.000621578, 0.000336674, 0.000399583, -0.000696987, 0.000744044, -0.00132088, 0.000671058, 0.00016913, 0.000716467, 0.00096968, 0.000505207, -0.000274037, 0.00113245, 0.00302972, 0.000796895, 0.097001, 0.0670532, -0.0362899, 0.0430825, 0.0939529, 0.100351, 0.178053, 0.090675, -0.0182305, 0.0772292, -0.104521, 0.0545326, 0.0369399, 0.152658, -0.408402, 0.10838
7, -0.00209986, 0.000838008, -8.61894e-05, 0.000538314, -0.00296126, 0.00159223, -0.00256404, 0.00143247, -0.000322255, 0.00111656, 0.000228676, 0.000786953, 0.00320904, 0.00280114, 0.0021513, 0.00196963, 0.417951, 0.167172, 0.0171549, 0.107146, 0.664315, 0.358011, 0.575205, 0.322034, 0.064141, 0.222244, -0.0455151, 0.156638, -0.7199, 0.628939, -0.482612, 0.442207
8, -0.00196809, 0.00116056, -0.00015346, 0.000744727, 0.000293571, 0.00421851, -0.00548781, 0.00378833, 0.00147845, 0.00175624, 0.00198687, 0.00123813, 0.0154182, 0.00848473, -0.00190079, 0.00597117, 1.39137, 0.821123, 0.108491, 0.526504, -0.195571, 2.81028, 3.65586, 2.52626, -1.04522, 1.24185, -1.40465, 0.875934, -10.2713, 5.66136, 1.26627, 3.97806
