Centrality, Gamma112_EPD, Gamma112_EPD_err, Gamma132_EPD, Gamma132_EPD_err, Gamma112_EPD1, Gamma112_EPD1_err, Gamma132_EPD1, Gamma132_EPD1_err, Gamma112_EPD_ESE, Gamma112_EPD_ESE_err, Gamma132_EPD_ESE, Gamma132_EPD_ESE_err, Gamma112_EPD1_ESE, Gamma112_EPD1_ESE_err, Gamma132_EPD1_ESE, Gamma132_EPD1_ESE_err, kappa112_EPD, kappa112_EPD_err, kappa132_EPD, kappa132_EPD_err, kappa112_EPD1, kappa112_EPD1_err, kappa132_EPD1, kappa132_EPD1_err, kappa112_EPD_ESE, kappa112_EPD_ESE_err, kappa132_EPD_ESE, kappa132_EPD_ESE_err, kappa112_EPD1_ESE, kappa112_EPD1_ESE_err, kappa132_EPD1_ESE, kappa132_EPD1_ESE_err
0, 0.00573393, 0.00246658, 0.000953462, 0.00157897, -0.00449102, 0.0366491, -0.0439211, 0.0333353, -0.0152133, 0.0430438, 0.012806, 0.0349034, 0.00527613, 0.0470801, 0.155547, 0.0582691, 0.122685, 0.0542566, 0.0204005, 0.0338489, -0.336002, 2.74578, -3.28602, 2.86823, -0.325508, 0.921582, 0.274001, 0.747332, 0.394741, 3.52647, 11.6375, 6.64624
1, 0.0960167, 0.0587997, 0.00580673, 0.0376493, 0.00953524, 0.00980374, 0.00947455, 0.00889354, 0.524162, 0.260336, -0.110498, 0.0553595, -0.0270773, 0.0204781, -0.0321819, 0.0128987, 2.25779, 1.39228, 0.136543, 0.885363, 2.30715, 2.4079, 2.29247, 2.19077, 12.3254, 6.18641, -2.59831, 1.31528, -6.55163, 5.09215, -7.78676, 3.41885
2, 0.00535275, 0.0125179, -0.00323833, 0.0080216, 0.00118608, 0.00297309, 0.000195801, 0.00268532, 0.00861113, 0.0244562, -0.00902523, 0.0185802, 0.00713706, 0.00608035, -0.00217822, 0.00428468, 0.158414, 0.37055, -0.0958378, 0.237446, 0.111196, 0.279009, 0.0183566, 0.251761, 0.254845, 0.723887, -0.2671, 0.550039, 0.669109, 0.57493, -0.204211, 0.402343
3, 0.00721193, 0.00458226, -0.0046562, 0.00293927, 0.000881843, 0.00123711, 0.00142077, 0.00111241, -0.00431368, 0.00764248, -0.0105486, 0.00542065, 0.00046722, 0.00248042, -0.00505024, 0.00175123, 0.234597, 0.149304, -0.151462, 0.0957727, 0.0776496, 0.109067, 0.125104, 0.0983409, -0.14032, 0.248656, -0.343136, 0.176776, 0.0411405, 0.218429, -0.444693, 0.157303
4, 0.00219281, 0.00191313, -0.00137, 0.00122865, 0.00145914, 0.000623383, -0.000723544, 0.000558136, -0.000263801, 0.00249754, 0.00429291, 0.00175395, -0.00226753, 0.00106084, 0.000239764, 0.000752025, 0.0803751, 0.0701542, -0.0502159, 0.0450536, 0.124598, 0.0535229, -0.0617847, 0.0477403, -0.00966937, 0.0915453, 0.157353, 0.0644164, -0.193629, 0.0910002, 0.0204738, 0.0642232
5, 0.00106906, 0.000993035, -0.000933968, 0.000638567, -7.79042e-05, 0.000413098, 0.000307909, 0.000368265, -0.00388595, 0.00140913, -0.000399465, 0.0010359, -0.000815829, 0.000768082, -0.000781097, 0.000532651, 0.0560432, 0.0520703, -0.0489612, 0.0334905, -0.00836135, 0.0443381, 0.0330474, 0.0395402, -0.203713, 0.0739879, -0.0209411, 0.0543067, -0.0875617, 0.0824872, -0.0838341, 0.0572348
6, 0.000352639, 0.000705601, 0.00018432, 0.000453963, 0.00105839, 0.000384718, 0.000303637, 0.000341577, -0.00286283, 0.00114606, 4.01944e-05, 0.000796997, -0.00138631, 0.000765342, -0.000140188, 0.000543913, 0.0371733, 0.0743834, 0.01943, 0.0478555, 0.243021, 0.0885649, 0.0697189, 0.0784518, -0.301783, 0.120929, 0.00423707, 0.084015, -0.318314, 0.17593, -0.0321889, 0.124892
7, -0.000372443, 0.000893401, -0.000607042, 0.000574928, -0.000849218, 0.000850911, 0.000750342, 0.000753257, -0.00348191, 0.00150006, 0.000131584, 0.00119193, 0.00302199, 0.00162554, -0.000837369, 0.00114402, -0.0999842, 0.239849, -0.162964, 0.154386, -0.507034, 0.508299, 0.447999, 0.449964, -0.934737, 0.403249, 0.0353245, 0.319982, 1.80431, 0.972229, -0.49996, 0.683231
8, 0.000874115, 0.00114819, 0.00114181, 0.000738675, -0.00153497, 0.00248449, 0.000742444, 0.00219496, -8.79542e-06, 0.00183425, 0.00166396, 0.00109742, -0.00108554, 0.00410578, -0.00145658, 0.00248842, 0.390405, 0.512884, 0.509967, 0.330097, -3.18059, 5.14886, 1.53841, 4.54835, -0.00392829, 0.819227, 0.743171, 0.490401, -2.24932, 8.50775, -3.01814, 5.15692
