Centrality, Gamma112_EPD, Gamma112_EPD_err, Gamma132_EPD, Gamma132_EPD_err, Gamma112_EPD1, Gamma112_EPD1_err, Gamma132_EPD1, Gamma132_EPD1_err, Gamma112_EPD_ESE, Gamma112_EPD_ESE_err, Gamma132_EPD_ESE, Gamma132_EPD_ESE_err, Gamma112_EPD1_ESE, Gamma112_EPD1_ESE_err, Gamma132_EPD1_ESE, Gamma132_EPD1_ESE_err, kappa112_EPD, kappa112_EPD_err, kappa132_EPD, kappa132_EPD_err, kappa112_EPD1, kappa112_EPD1_err, kappa132_EPD1, kappa132_EPD1_err, kappa112_EPD_ESE, kappa112_EPD_ESE_err, kappa132_EPD_ESE, kappa132_EPD_ESE_err, kappa112_EPD1_ESE, kappa112_EPD1_ESE_err, kappa132_EPD1_ESE, kappa132_EPD1_ESE_err
0, 0.00573393, 0.00246658, 0.000953462, 0.00157897, -0.00449102, 0.0366491, -0.0439211, 0.0333353, -0.00985151, 0.0331248, 0.034853, 0.019726, -0.0413025, 0.0389114, 0.10944, 0.0390957, 0.122685, 0.0542566, 0.0204005, 0.0338489, -0.336002, 2.74578, -3.28602, 2.86823, -0.210785, 0.709076, 0.745723, 0.428945, -3.0901, 3.2015, 8.18788, 4.58411
1, 0.0960167, 0.0587997, 0.00580673, 0.0376493, 0.00953524, 0.00980374, 0.00947455, 0.00889354, 0.301189, 0.0815563, -0.0664277, 0.0399498, -0.0306626, 0.0154422, -0.0308308, 0.0106458, 2.25779, 1.39228, 0.136543, 0.885363, 2.30715, 2.4079, 2.29247, 2.19077, 7.08234, 1.98516, -1.56202, 0.946188, -7.41914, 3.966, -7.45985, 2.90225
2, 0.00535275, 0.0125179, -0.00323833, 0.0080216, 0.00118608, 0.00297309, 0.000195801, 0.00268532, 0.000971092, 0.0182961, 0.000776853, 0.0135113, 0.00699412, 0.00564601, 0.00249, 0.00399857, 0.158414, 0.37055, -0.0958378, 0.237446, 0.111196, 0.279009, 0.0183566, 0.251761, 0.0287393, 0.54147, 0.0229908, 0.399866, 0.655709, 0.534376, 0.233441, 0.375779
3, 0.00721193, 0.00458226, -0.0046562, 0.00293927, 0.000881843, 0.00123711, 0.00142077, 0.00111241, -0.00636815, 0.00658968, -0.00668511, 0.00466148, 0.000761418, 0.00227053, -0.00449225, 0.00160448, 0.234597, 0.149304, -0.151462, 0.0957727, 0.0776496, 0.109067, 0.125104, 0.0983409, -0.20715, 0.214491, -0.21746, 0.151843, 0.0670458, 0.199984, -0.39556, 0.14396
4, 0.00219281, 0.00191313, -0.00137, 0.00122865, 0.00145914, 0.000623383, -0.000723544, 0.000558136, 0.000362715, 0.0023481, 0.00404905, 0.00163638, -0.00236836, 0.00110286, -0.00024688, 0.000779124, 0.0803751, 0.0701542, -0.0502159, 0.0450536, 0.124598, 0.0535229, -0.0617847, 0.0477403, 0.013295, 0.0860679, 0.148414, 0.0601014, -0.202238, 0.094609, -0.0210815, 0.0665374
5, 0.00106906, 0.000993035, -0.000933968, 0.000638567, -7.79042e-05, 0.000413098, 0.000307909, 0.000368265, -0.00306047, 0.00134823, -0.000706211, 0.00097244, -0.00148487, 0.000738095, -0.000588522, 0.000520992, 0.0560432, 0.0520703, -0.0489612, 0.0334905, -0.00836135, 0.0443381, 0.0330474, 0.0395402, -0.160439, 0.0707544, -0.0370216, 0.0509837, -0.159369, 0.079391, -0.0631652, 0.0559557
6, 0.000352639, 0.000705601, 0.00018432, 0.000453963, 0.00105839, 0.000384718, 0.000303637, 0.000341577, -0.00261849, 0.000993236, 4.26661e-05, 0.000696368, -0.000442808, 0.00070449, 0.000215609, 0.000499962, 0.0371733, 0.0743834, 0.01943, 0.0478555, 0.243021, 0.0885649, 0.0697189, 0.0784518, -0.276026, 0.104816, 0.00449762, 0.0734073, -0.101674, 0.161782, 0.0495066, 0.114805
7, -0.000372443, 0.000893401, -0.000607042, 0.000574928, -0.000849218, 0.000850911, 0.000750342, 0.000753257, -0.00316319, 0.00139396, -2.26887e-05, 0.00105621, 0.00163291, 0.0017286, 0.00152562, 0.00113746, -0.0999842, 0.239849, -0.162964, 0.154386, -0.507034, 0.508299, 0.447999, 0.449964, -0.849175, 0.374706, -0.0060909, 0.283546, 0.974946, 1.03254, 0.910889, 0.679744
8, 0.000874115, 0.00114819, 0.00114181, 0.000738675, -0.00153497, 0.00248449, 0.000742444, 0.00219496, -0.000171369, 0.00155126, 0.00156825, 0.00098696, -0.00156703, 0.00468425, 0.00464777, 0.00327525, 0.390405, 0.512884, 0.509967, 0.330097, -3.18059, 5.14886, 1.53841, 4.54835, -0.0765383, 0.69284, 0.700424, 0.441064, -3.24702, 9.70659, 9.63057, 6.79204
