Centrality, Gamma112_EPD, Gamma112_EPD_err, Gamma132_EPD, Gamma132_EPD_err, Gamma112_EPD1, Gamma112_EPD1_err, Gamma132_EPD1, Gamma132_EPD1_err, Gamma112_EPD_ESE, Gamma112_EPD_ESE_err, Gamma132_EPD_ESE, Gamma132_EPD_ESE_err, Gamma112_EPD1_ESE, Gamma112_EPD1_ESE_err, Gamma132_EPD1_ESE, Gamma132_EPD1_ESE_err, kappa112_EPD, kappa112_EPD_err, kappa132_EPD, kappa132_EPD_err, kappa112_EPD1, kappa112_EPD1_err, kappa132_EPD1, kappa132_EPD1_err, kappa112_EPD_ESE, kappa112_EPD_ESE_err, kappa132_EPD_ESE, kappa132_EPD_ESE_err, kappa112_EPD1_ESE, kappa112_EPD1_ESE_err, kappa132_EPD1_ESE, kappa132_EPD1_ESE_err
0, 0.00573393, 0.00246658, 0.000953462, 0.00157897, -0.00449102, 0.0366491, -0.0439211, 0.0333353, -0.00793113, 0.0394407, 0.023542, 0.0300511, -0.0967699, 0.0659633, 0.0302631, 0.0627771, 0.122685, 0.0542566, 0.0204005, 0.0338489, -0.336002, 2.74578, -3.28602, 2.86823, -0.169696, 0.844063, 0.503711, 0.645055, -7.23998, 5.83921, 2.26418, 4.79711
1, 0.0960167, 0.0587997, 0.00580673, 0.0376493, 0.00953524, 0.00980374, 0.00947455, 0.00889354, 0.0473359, 0.0296336, -0.0385781, 0.0203677, -0.0263612, 0.0127021, -0.032623, 0.00904483, 2.25779, 1.39228, 0.136543, 0.885363, 2.30715, 2.4079, 2.29247, 2.19077, 1.11308, 0.70147, -0.907147, 0.483423, -6.37838, 3.27916, -7.89349, 2.60602
2, 0.00535275, 0.0125179, -0.00323833, 0.0080216, 0.00118608, 0.00297309, 0.000195801, 0.00268532, -0.0134581, 0.0146662, 0.00245123, 0.0103761, 0.00411472, 0.00435984, -0.00110222, 0.00308358, 0.158414, 0.37055, -0.0958378, 0.237446, 0.111196, 0.279009, 0.0183566, 0.251761, -0.398291, 0.434497, 0.0725436, 0.307101, 0.38576, 0.411011, -0.103335, 0.289321
3, 0.00721193, 0.00458226, -0.0046562, 0.00293927, 0.000881843, 0.00123711, 0.00142077, 0.00111241, -0.00345366, 0.00539773, -0.00654896, 0.00381923, -0.000126549, 0.00188194, -0.00394461, 0.00133004, 0.234597, 0.149304, -0.151462, 0.0957727, 0.0776496, 0.109067, 0.125104, 0.0983409, -0.112344, 0.175631, -0.213032, 0.124481, -0.0111431, 0.165714, -0.347338, 0.119605
4, 0.00219281, 0.00191313, -0.00137, 0.00122865, 0.00145914, 0.000623383, -0.000723544, 0.000558136, -0.00108887, 0.0019997, 0.00204448, 0.00141373, -0.0020944, 0.00085141, -4.53454e-05, 0.000601518, 0.0803751, 0.0701542, -0.0502159, 0.0450536, 0.124598, 0.0535229, -0.0617847, 0.0477403, -0.0399116, 0.0733044, 0.0749385, 0.0518547, -0.178844, 0.0731424, -0.00387212, 0.051365
5, 0.00106906, 0.000993035, -0.000933968, 0.000638567, -7.79042e-05, 0.000413098, 0.000307909, 0.000368265, -0.00264429, 0.00113902, -3.04571e-05, 0.000804728, -0.000742105, 0.000610183, -0.000854978, 0.0004307, 0.0560432, 0.0520703, -0.0489612, 0.0334905, -0.00836135, 0.0443381, 0.0330474, 0.0395402, -0.138621, 0.0597779, -0.00159665, 0.0421861, -0.079649, 0.0655422, -0.0917636, 0.0463243
6, 0.000352639, 0.000705601, 0.00018432, 0.000453963, 0.00105839, 0.000384718, 0.000303637, 0.000341577, -0.00231263, 0.000884499, 0.000210478, 0.000624715, -0.000910171, 0.000625979, -0.000234657, 0.00044165, 0.0371733, 0.0743834, 0.01943, 0.0478555, 0.243021, 0.0885649, 0.0697189, 0.0784518, -0.243785, 0.093339, 0.0221874, 0.0658551, -0.208987, 0.143837, -0.0538802, 0.101418
7, -0.000372443, 0.000893401, -0.000607042, 0.000574928, -0.000849218, 0.000850911, 0.000750342, 0.000753257, -0.00134074, 0.0012938, 0.000339189, 0.000913056, 0.00154752, 0.00158857, -0.000602709, 0.00112001, -0.0999842, 0.239849, -0.162964, 0.154386, -0.507034, 0.508299, 0.447999, 0.449964, -0.35993, 0.347423, 0.0910571, 0.245123, 0.923961, 0.948926, -0.359853, 0.66881
8, 0.000874115, 0.00114819, 0.00114181, 0.000738675, -0.00153497, 0.00248449, 0.000742444, 0.00219496, -0.00164286, 0.00187512, 0.00167208, 0.00132004, 0.00674864, 0.00610632, 0.00779178, 0.00451723, 0.390405, 0.512884, 0.509967, 0.330097, -3.18059, 5.14886, 1.53841, 4.54835, -0.733747, 0.837632, 0.746799, 0.58979, 13.9837, 12.659, 16.1452, 9.3712
