Centrality, Gamma112_EPD, Gamma112_EPD_err, Gamma132_EPD, Gamma132_EPD_err, Gamma112_EPD1, Gamma112_EPD1_err, Gamma132_EPD1, Gamma132_EPD1_err, Gamma112_EPD_ESE, Gamma112_EPD_ESE_err, Gamma132_EPD_ESE, Gamma132_EPD_ESE_err, Gamma112_EPD1_ESE, Gamma112_EPD1_ESE_err, Gamma132_EPD1_ESE, Gamma132_EPD1_ESE_err, kappa112_EPD, kappa112_EPD_err, kappa132_EPD, kappa132_EPD_err, kappa112_EPD1, kappa112_EPD1_err, kappa132_EPD1, kappa132_EPD1_err, kappa112_EPD_ESE, kappa112_EPD_ESE_err, kappa132_EPD_ESE, kappa132_EPD_ESE_err, kappa112_EPD1_ESE, kappa112_EPD1_ESE_err, kappa132_EPD1_ESE, kappa132_EPD1_ESE_err
0, 0.00573393, 0.00246658, 0.000953462, 0.00157897, -0.00449102, 0.0366491, -0.0439211, 0.0333353, -0.261302, 0.349752, 0.185565, 0.124381, -0.0582312, 0.0726118, 0.161559, 0.0907736, 0.122685, 0.0542566, 0.0204005, 0.0338489, -0.336002, 2.74578, -3.28602, 2.86823, -5.59089, 7.50536, 3.97039, 2.6923, -4.35665, 5.74803, 12.0873, 8.55997
1, 0.0960167, 0.0587997, 0.00580673, 0.0376493, 0.00953524, 0.00980374, 0.00947455, 0.00889354, 0.0922967, 0.0407061, -0.0606625, 0.0288151, -0.033526, 0.0203355, -0.0413527, 0.0146445, 2.25779, 1.39228, 0.136543, 0.885363, 2.30715, 2.4079, 2.29247, 2.19077, 2.17032, 0.970005, -1.42645, 0.685404, -8.11197, 5.13074, -10.0057, 3.97142
2, 0.00535275, 0.0125179, -0.00323833, 0.0080216, 0.00118608, 0.00297309, 0.000195801, 0.00268532, -0.0141321, 0.0196037, -0.000235798, 0.0138401, 0.00766469, 0.00613294, -0.00222613, 0.00433752, 0.158414, 0.37055, -0.0958378, 0.237446, 0.111196, 0.279009, 0.0183566, 0.251761, -0.418236, 0.580541, -0.00697841, 0.409596, 0.718575, 0.580559, -0.208703, 0.407318
3, 0.00721193, 0.00458226, -0.0046562, 0.00293927, 0.000881843, 0.00123711, 0.00142077, 0.00111241, -0.00261155, 0.00718104, -0.00890052, 0.00508528, 0.000187247, 0.00246753, -0.00507153, 0.0017436, 0.234597, 0.149304, -0.151462, 0.0957727, 0.0776496, 0.109067, 0.125104, 0.0983409, -0.0849513, 0.233613, -0.289526, 0.165759, 0.0164878, 0.217278, -0.446567, 0.156671
4, 0.00219281, 0.00191313, -0.00137, 0.00122865, 0.00145914, 0.000623383, -0.000723544, 0.000558136, -0.00118783, 0.00233127, 0.00239533, 0.00164813, -0.00229363, 0.000991473, -0.000101864, 0.0007005, 0.0803751, 0.0701542, -0.0502159, 0.0450536, 0.124598, 0.0535229, -0.0617847, 0.0477403, -0.0435386, 0.0854578, 0.0877984, 0.0604527, -0.195857, 0.0851159, -0.00869837, 0.0598182
5, 0.00106906, 0.000993035, -0.000933968, 0.000638567, -7.79042e-05, 0.000413098, 0.000307909, 0.000368265, -0.00308106, 0.00130643, -0.000140357, 0.000923013, -0.000804507, 0.000699158, -0.000889314, 0.000493505, 0.0560432, 0.0520703, -0.0489612, 0.0334905, -0.00836135, 0.0443381, 0.0330474, 0.0395402, -0.161518, 0.0685666, -0.00735794, 0.0483872, -0.0863465, 0.0750931, -0.0954487, 0.0530597
6, 0.000352639, 0.000705601, 0.00018432, 0.000453963, 0.00105839, 0.000384718, 0.000303637, 0.000341577, -0.00255125, 0.00100631, 0.000255846, 0.000710729, -0.000913715, 0.000711446, -0.000234168, 0.000501946, 0.0371733, 0.0743834, 0.01943, 0.0478555, 0.243021, 0.0885649, 0.0697189, 0.0784518, -0.268939, 0.106187, 0.0269698, 0.0749226, -0.209801, 0.163449, -0.0537679, 0.115262
7, -0.000372443, 0.000893401, -0.000607042, 0.000574928, -0.000849218, 0.000850911, 0.000750342, 0.000753257, -0.00157253, 0.00150288, 0.000443224, 0.0010605, 0.0019519, 0.00183288, -0.000743919, 0.00129237, -0.0999842, 0.239849, -0.162964, 0.154386, -0.507034, 0.508299, 0.447999, 0.449964, -0.422154, 0.403568, 0.118986, 0.284708, 1.1654, 1.09496, -0.444165, 0.771753
8, 0.000874115, 0.00114819, 0.00114181, 0.000738675, -0.00153497, 0.00248449, 0.000742444, 0.00219496, -0.00188061, 0.00224507, 0.00213629, 0.00157857, 0.00655247, 0.00634835, 0.000895299, 0.00470046, 0.390405, 0.512884, 0.509967, 0.330097, -3.18059, 5.14886, 1.53841, 4.54835, -0.839937, 1.00288, 0.954131, 0.705335, 13.5773, 13.1599, 1.85513, 9.73988
