Centrality, Gamma112_EPD, Gamma112_EPD_err, Gamma132_EPD, Gamma132_EPD_err, Gamma112_EPD1, Gamma112_EPD1_err, Gamma132_EPD1, Gamma132_EPD1_err, Gamma112_EPD_ESE, Gamma112_EPD_ESE_err, Gamma132_EPD_ESE, Gamma132_EPD_ESE_err, Gamma112_EPD1_ESE, Gamma112_EPD1_ESE_err, Gamma132_EPD1_ESE, Gamma132_EPD1_ESE_err, kappa112_EPD, kappa112_EPD_err, kappa132_EPD, kappa132_EPD_err, kappa112_EPD1, kappa112_EPD1_err, kappa132_EPD1, kappa132_EPD1_err, kappa112_EPD_ESE, kappa112_EPD_ESE_err, kappa132_EPD_ESE, kappa132_EPD_ESE_err, kappa112_EPD1_ESE, kappa112_EPD1_ESE_err, kappa132_EPD1_ESE, kappa132_EPD1_ESE_err
0, -0.00201265, 0.00370328, -0.00200754, 0.00236845, 0.017324, 0.112158, -0.138, 0.104146, 0.336863, 0.282102, 0.192036, 0.130109, 384.056, 1207.85, -6003.59, 130622, -0.035553, 0.0656872, -0.0354627, 0.0422564, 0.648689, 4.22403, -5.16734, 5.31197, 5.9506, 5.08169, 3.39227, 2.36734, 14380.8, 46327.8, -224801, 4.89358e+06
1, 0.0717326, 0.0324875, 0.0294089, 0.0207774, -0.00753655, 0.0240096, -0.0189197, 0.0220955, -0.0496953, 0.0274303, -0.0346901, 0.0193691, 0.0138925, 0.0323335, 0.0476108, 0.0226032, 2.0596, 0.969449, 0.844396, 0.606309, -0.554758, 1.77575, -1.39266, 1.68325, -1.42686, 0.808555, -0.99603, 0.570605, 1.02261, 2.40124, 3.50459, 1.98974
2, -0.00754882, 0.0109554, -0.00966709, 0.00700432, 0.00558264, 0.00709096, 0.00261528, 0.00650311, -0.00969148, 0.0114388, -0.00398408, 0.00807998, 0.0112404, 0.0102775, 0.020857, 0.00725802, -0.351038, 0.511205, -0.449543, 0.330194, 0.476612, 0.611945, 0.223277, 0.556773, -0.450677, 0.5347, -0.185269, 0.376402, 0.959641, 0.895692, 1.78065, 0.703874
3, 0.00137002, 0.0040302, 0.00317883, 0.00258146, 0.00675168, 0.00277113, -0.00131414, 0.00252939, -0.00838689, 0.00434392, -0.00637166, 0.00306887, -0.0105589, 0.00402923, -0.00770421, 0.00284418, 0.49573, 1.48946, 1.15023, 1.16924, 3.9174, 2.90211, -0.76248, 1.54108, -3.03472, 2.4318, -2.30553, 1.79452, -6.12642, 4.44316, -4.47007, 3.21303
4, 0.0013602, 0.00178298, 0.000148178, 0.00114385, 0.00375252, 0.00136029, -0.00411575, 0.00123665, -0.000793064, 0.00171304, 0.000904383, 0.00121023, -0.00532572, 0.00173261, 0.000279954, 0.00122313, -0.237865, 0.314882, -0.0259126, 0.200088, -0.917938, 0.376237, 1.00679, 0.358605, 0.138687, 0.300662, -0.158154, 0.213648, 1.30277, 0.491659, -0.0684821, 0.299488
5, -0.00203489, 0.000987541, -0.00144204, 0.00063452, -0.00240063, 0.00088849, -0.000324313, 0.000804652, -0.000472775, 0.00101503, 0.000142366, 0.000716749, 0.000138493, 0.00120518, -2.37384e-05, 0.000850325, 0.187589, 0.091695, 0.132937, 0.0590074, 0.284141, 0.106906, 0.0383861, 0.0952751, 0.0435834, 0.0936063, -0.0131242, 0.0660789, -0.0163922, 0.142651, 0.00280971, 0.100646
6, -0.000424484, 0.000679208, 0.000773106, 0.000436608, -0.000944753, 0.000813044, -0.00101466, 0.00073334, 0.00118934, 0.000761425, 0.0010263, 0.000537369, 0.000169337, 0.00120649, 0.00181714, 0.000850561, 0.0445272, 0.0712603, -0.0810967, 0.0458675, 0.11649, 0.100357, 0.125109, 0.0905586, -0.124759, 0.0799644, -0.107656, 0.0564667, -0.0208796, 0.148765, -0.224058, 0.105252
7, -0.00130636, 0.000963528, -0.000584, 0.000618952, -0.00343338, 0.0018312, 0.000672466, 0.00164724, -0.0030088, 0.00125154, 0.000127106, 0.000883337, 0.00593921, 0.00314041, 0.000637939, 0.00221266, 0.261315, 0.192924, 0.11682, 0.123869, 0.732829, 0.392192, -0.143533, 0.351649, 0.60186, 0.251111, -0.0254255, 0.176699, -1.26768, 0.67263, -0.136163, 0.472313
8, -0.00220742, 0.0013357, 0.000426304, 0.000857156, -0.00331058, 0.00485763, -0.00278932, 0.00436126, 8.40282e-05, 0.00198243, 0.0015731, 0.00140042, 0.0200579, 0.00950724, -0.00178055, 0.00668673, 1.57858, 0.956144, -0.30486, 0.613028, 1.93496, 2.84008, 1.63029, 2.54977, -0.0600906, 1.41768, -1.12496, 1.00194, -11.7234, 5.57373, 1.04069, 3.90843
