Centrality, Gamma112_EPD, Gamma112_EPD_err, Gamma132_EPD, Gamma132_EPD_err, Gamma112_EPD1, Gamma112_EPD1_err, Gamma132_EPD1, Gamma132_EPD1_err, Gamma112_EPD_ESE, Gamma112_EPD_ESE_err, Gamma132_EPD_ESE, Gamma132_EPD_ESE_err, Gamma112_EPD1_ESE, Gamma112_EPD1_ESE_err, Gamma132_EPD1_ESE, Gamma132_EPD1_ESE_err, kappa112_EPD, kappa112_EPD_err, kappa132_EPD, kappa132_EPD_err, kappa112_EPD1, kappa112_EPD1_err, kappa132_EPD1, kappa132_EPD1_err, kappa112_EPD_ESE, kappa112_EPD_ESE_err, kappa132_EPD_ESE, kappa132_EPD_ESE_err, kappa112_EPD1_ESE, kappa112_EPD1_ESE_err, kappa132_EPD1_ESE, kappa132_EPD1_ESE_err
0, -0.00127523, 0.00316978, 0.000840504, 0.00202713, -0.0269615, 0.0960643, 0.0082637, 0.0891655, 0.198166, 0.219911, 0.174575, 0.116544, 799.236, 29275.4, -787.521, 15992.8, -0.0248958, 0.0619975, 0.0164089, 0.0396531, -1.80823, 6.53161, 0.554223, 5.98913, 3.86871, 4.33318, 3.40816, 2.33325, 53602.5, 1.96367e+06, -52816.8, 1.07305e+06
1, 0.0178156, 0.0279567, -0.00987469, 0.0178809, -0.0189525, 0.0206405, -0.0575201, 0.0190069, -0.049676, 0.0234597, -0.027357, 0.0167427, 0.00158421, 0.0305099, 0.0198345, 0.0206285, 0.632183, 0.994881, -0.350401, 0.635866, -1.55564, 1.7457, -4.72132, 2.0164, -1.76274, 0.858454, -0.970756, 0.605226, 0.130034, 2.50453, 1.62804, 1.74957
2, 0.0014841, 0.00947023, -0.00625271, 0.00605575, 0.00137848, 0.00612961, 0.000322943, 0.00562262, -0.00968154, 0.00992214, -0.00570378, 0.0070077, 0.00835508, 0.00887519, 0.00705753, 0.00626627, 0.10511, 0.670883, -0.442839, 0.433505, 0.188308, 0.838083, 0.0441157, 0.768124, -0.685681, 0.709478, -0.403962, 0.499636, 1.14135, 1.23122, 0.964095, 0.874964
3, -0.00284286, 0.00349691, 0.00160999, 0.00223963, 0.00306626, 0.00240383, 0.00264012, 0.00219414, -0.00477509, 0.00381, -0.00467726, 0.00269112, -0.0088872, 0.0035423, -0.00851919, 0.00250231, -3.55566, 7.47707, 2.01367, 4.43194, 6.45062, 12.1166, 5.55414, 10.5446, -5.97238, 11.2458, -5.85002, 10.53, -18.6964, 32.7723, -17.9222, 31.0419
4, 0.00294113, 0.00155033, 0.00165902, 0.000994654, 0.00279278, 0.00118264, -0.00225433, 0.0010753, -0.00113109, 0.00151609, 0.000903815, 0.00107071, -0.00327015, 0.00153337, 0.000448339, 0.00108177, -0.380646, 0.205067, -0.214714, 0.130928, -0.530442, 0.233312, 0.428172, 0.210487, 0.146388, 0.19689, -0.116973, 0.139183, 0.621112, 0.300458, -0.0851546, 0.205715
5, -0.00250926, 0.000859634, -0.000749088, 0.000552324, -0.00283189, 0.000773393, -0.000470026, 0.000700409, 0.000880232, 0.000904182, 0.000157557, 0.000638143, 0.000472786, 0.00107393, 0.000403585, 0.000756771, 0.199797, 0.0689516, 0.0596454, 0.0440484, 0.306084, 0.0850173, 0.0508025, 0.0757471, -0.0700875, 0.0720537, -0.0125453, 0.0508142, -0.0511008, 0.116104, -0.0436214, 0.0818251
6, -0.00101319, 0.000591219, 1.95447e-05, 0.000380044, -0.000556951, 0.000707572, -0.00151834, 0.000638282, 0.000238808, 0.00068033, 0.00117454, 0.000479703, 0.000193712, 0.00107817, 0.00306477, 0.000758741, 0.107153, 0.062587, -0.00206702, 0.0401931, 0.0734211, 0.0933084, 0.200157, 0.0844015, -0.0252561, 0.0719538, -0.124218, 0.0508327, -0.0255364, 0.142134, -0.404018, 0.100907
7, -0.00209983, 0.000838008, -8.62126e-05, 0.000538314, -0.00296126, 0.00159223, -0.0027059, 0.00143246, -0.000322255, 0.00111656, 0.000228676, 0.000786953, 0.00320904, 0.00280114, 0.00214338, 0.00196962, 0.417945, 0.167172, 0.0171596, 0.107146, 0.664316, 0.358011, 0.607028, 0.322109, 0.064141, 0.222244, -0.0455151, 0.156638, -0.7199, 0.628939, -0.480836, 0.442202
8, -0.00196833, 0.00116056, -0.000153268, 0.000744727, 0.000294415, 0.0042185, -0.00597862, 0.00378831, 0.00147885, 0.00175624, 0.00198689, 0.00123813, 0.0154175, 0.00848472, -0.00125668, 0.00597081, 1.39154, 0.821122, 0.108355, 0.526504, -0.196132, 2.81028, 3.98282, 2.52672, -1.0455, 1.24185, -1.40466, 0.875934, -10.2708, 5.66134, 0.83717, 3.97771
