Centrality, Gamma112_EPD, Gamma112_EPD_err, Gamma132_EPD, Gamma132_EPD_err, Gamma112_EPD1, Gamma112_EPD1_err, Gamma132_EPD1, Gamma132_EPD1_err, Gamma112_EPD_ESE, Gamma112_EPD_ESE_err, Gamma132_EPD_ESE, Gamma132_EPD_ESE_err, Gamma112_EPD1_ESE, Gamma112_EPD1_ESE_err, Gamma132_EPD1_ESE, Gamma132_EPD1_ESE_err, kappa112_EPD, kappa112_EPD_err, kappa132_EPD, kappa132_EPD_err, kappa112_EPD1, kappa112_EPD1_err, kappa132_EPD1, kappa132_EPD1_err, kappa112_EPD_ESE, kappa112_EPD_ESE_err, kappa132_EPD_ESE, kappa132_EPD_ESE_err, kappa112_EPD1_ESE, kappa112_EPD1_ESE_err, kappa132_EPD1_ESE, kappa132_EPD1_ESE_err
0, 0.375398, 0.485115, 0.124125, 0.31076, -0.158962, 0.152223, 0.0560608, 0.142333, -0.153638, 0.383597, -13525, 152752, -1.94342, 5.56625, -1.10657, 2.42035, 6.88783, 9.02375, 2.27745, 5.72292, -3.74617, 5.01529, 1.32116, 3.57478, -2.81897, 7.06441, -248157, 2.80322e+06, -45.7997, 137.998, -26.078, 62.0381
1, 0.00224869, 0.0376646, -0.028006, 0.0240776, -0.0234265, 0.0277631, -0.0844808, 0.0255975, -0.0533487, 0.0311568, -0.022939, 0.0227134, -0.0163901, 0.0403627, 0.000854351, 0.0265831, 0.0852771, 1.42842, -1.06207, 0.928819, -1.79315, 2.22254, -6.46648, 3.05751, -2.02314, 1.22522, -0.869915, 0.872567, -1.25456, 3.12289, 0.0653952, 2.03491
2, 0.00212934, 0.0123507, -0.00595294, 0.00789724, -0.00341224, 0.00798106, 0.00782772, 0.00732769, -0.00530531, 0.0128435, -0.00242871, 0.00906106, 0.00246125, 0.0114696, 0.0175274, 0.00807767, 0.15776, 0.91551, -0.441047, 0.590743, -0.445175, 1.04684, 1.02124, 0.987647, -0.393064, 0.95433, -0.179941, 0.672146, 0.321105, 1.4984, 2.2867, 1.19121
3, -0.00260764, 0.00449201, -0.000679837, 0.00287628, 0.00163595, 0.00308418, 0.0032259, 0.00281685, -0.00106916, 0.00481898, -0.00194038, 0.00340276, -0.0101548, 0.00448332, -0.0125149, 0.00316542, -1.31334, 2.51601, -0.342401, 1.4768, 1.33361, 2.75388, 2.62973, 3.19099, -0.538484, 2.4687, -0.977277, 1.8995, -8.27808, 7.87445, -10.202, 8.97497
4, 0.00344316, 0.00208631, 0.00100307, 0.00133849, 0.00282664, 0.00158746, -0.00281337, 0.00144381, -0.00119768, 0.0019933, 0.000290685, 0.00140734, -0.00156767, 0.00201443, 0.00127923, 0.00142065, -0.672795, 0.431832, -0.195999, 0.264813, -0.774937, 0.466993, 0.771299, 0.430215, 0.234027, 0.392629, -0.0567999, 0.275257, 0.429786, 0.560195, -0.350706, 0.396947
5, -0.00253839, 0.0010917, -0.000383039, 0.000701389, -0.00326755, 0.000981746, -0.00311619, 0.000889304, 0.00247045, 0.00111157, -0.000144367, 0.000784407, 0.00183156, 0.00132027, -0.00026811, 0.000930119, 0.261092, 0.113484, 0.0393985, 0.0721858, 0.429085, 0.13253, 0.409209, 0.1204, -0.254105, 0.115444, 0.0148492, 0.0806876, -0.240516, 0.174227, 0.0352074, 0.122167
6, -0.00123069, 0.000749154, -7.07457e-05, 0.000481571, -0.00122164, 0.000896406, -0.000812964, 0.000808717, 0.00121844, 0.000826133, 0.000983944, 0.000582493, 0.00274894, 0.00130916, 0.00300566, 0.000920874, 0.175765, 0.107216, 0.0101038, 0.0687785, 0.204772, 0.15055, 0.136269, 0.135702, -0.174017, 0.118185, -0.140526, 0.0833741, -0.460778, 0.22046, -0.50381, 0.156082
7, -0.00212259, 0.00106073, 0.000335724, 0.000681336, -0.00256405, 0.0020151, -0.00569343, 0.00181306, -0.00058991, 0.00134742, 0.000724579, 0.000949877, 0.00346515, 0.003381, 0.00324312, 0.00237678, 0.564939, 0.283173, -0.0893547, 0.181374, 0.700458, 0.551499, 1.55536, 0.500781, 0.157007, 0.358675, -0.19285, 0.252926, -0.946625, 0.924731, -0.885968, 0.650662
8, -0.00161245, 0.00147048, -0.000289537, 0.000943612, -0.00261551, 0.00534618, 0.00360031, 0.0048004, 0.00289552, 0.00211601, 0.000985337, 0.00149069, 0.00495272, 0.0102126, -0.00951827, 0.00718246, 1.59397, 1.45464, 0.286218, 0.932848, 2.1485, 4.39244, -2.95745, 3.94506, -2.86234, 2.09404, -0.974043, 1.47398, -4.06838, 8.39066, 7.81872, 5.90842
