Centrality, Gamma112_EPD, Gamma112_EPD_err, Gamma132_EPD, Gamma132_EPD_err, Gamma112_EPD1, Gamma112_EPD1_err, Gamma132_EPD1, Gamma132_EPD1_err, Gamma112_EPD_ESE, Gamma112_EPD_ESE_err, Gamma132_EPD_ESE, Gamma132_EPD_ESE_err, Gamma112_EPD1_ESE, Gamma112_EPD1_ESE_err, Gamma132_EPD1_ESE, Gamma132_EPD1_ESE_err, kappa112_EPD, kappa112_EPD_err, kappa132_EPD, kappa132_EPD_err, kappa112_EPD1, kappa112_EPD1_err, kappa132_EPD1, kappa132_EPD1_err, kappa112_EPD_ESE, kappa112_EPD_ESE_err, kappa132_EPD_ESE, kappa132_EPD_ESE_err, kappa112_EPD1_ESE, kappa112_EPD1_ESE_err, kappa132_EPD1_ESE, kappa132_EPD1_ESE_err
0, -0.00127509, 0.00316978, 0.000840465, 0.00202713, -0.0269551, 0.0960644, 0.0345338, 0.0891543, 0.198166, 0.219911, 0.174575, 0.116544, 799.236, 29275.4, 0.690679, 2.57696, -0.0248931, 0.0619977, 0.0164081, 0.0396532, -1.80781, 6.53159, 2.31609, 6.13546, 3.86873, 4.33319, 3.40817, 2.33326, 53602.7, 1.96368e+06, 46.3221, 175.005
1, 0.0178162, 0.0279567, -0.0098747, 0.0178809, -0.0189528, 0.0206405, -0.056372, 0.0190069, -0.049676, 0.0234597, -0.027357, 0.0167427, 0.00158421, 0.0305099, 0.019817, 0.0207407, 0.632204, 0.994881, -0.350401, 0.635866, -1.55567, 1.7457, -4.62707, 2.00034, -1.76274, 0.858453, -0.970755, 0.605225, 0.130034, 2.50453, 1.6266, 1.75839
2, 0.00148414, 0.00947023, -0.00625283, 0.00605575, 0.00137849, 0.00612961, -0.000298763, 0.00562264, -0.00968154, 0.00992214, -0.00570378, 0.0070077, 0.00835508, 0.00887519, 0.00766153, 0.00626782, 0.105112, 0.670883, -0.442848, 0.433505, 0.188309, 0.838083, -0.0408125, 0.768119, -0.685681, 0.709478, -0.403962, 0.499636, 1.14135, 1.23122, 1.0466, 0.878511
3, -0.00284287, 0.00349691, 0.00160996, 0.00223963, 0.00306627, 0.00240383, 0.00265603, 0.00219416, -0.00477509, 0.00381, -0.00467726, 0.00269112, -0.0088872, 0.0035423, -0.00881053, 0.00250245, -3.55571, 7.47718, 2.01365, 4.43195, 6.4507, 12.1169, 5.58765, 10.5962, -5.97242, 11.246, -5.85006, 10.5302, -18.6965, 32.7727, -18.5352, 32.0739
4, 0.00294113, 0.00155033, 0.00165903, 0.000994654, 0.00279278, 0.00118264, -0.00214396, 0.0010753, -0.00113109, 0.00151609, 0.000903815, 0.00107071, -0.00327015, 0.00153337, 0.000395968, 0.00108174, -0.380646, 0.205067, -0.214715, 0.130928, -0.530443, 0.233312, 0.407211, 0.209897, 0.146388, 0.19689, -0.116973, 0.139183, 0.621112, 0.300458, -0.0752077, 0.205653
5, -0.00250926, 0.000859634, -0.000749088, 0.000552324, -0.0028319, 0.000773393, -0.000433762, 0.000700408, 0.000880232, 0.000904182, 0.000157557, 0.000638143, 0.000472786, 0.00107393, 0.000350281, 0.000756762, 0.199797, 0.0689516, 0.0596454, 0.0440484, 0.306085, 0.0850173, 0.046883, 0.0757406, -0.0700875, 0.0720537, -0.0125453, 0.0508142, -0.0511008, 0.116104, -0.0378599, 0.0818168
6, -0.00101319, 0.000591219, 1.9542e-05, 0.000380044, -0.00055695, 0.000707572, -0.0014715, 0.000638286, 0.000238808, 0.00068033, 0.00117454, 0.000479703, 0.000193712, 0.00107817, 0.00302246, 0.000758717, 0.107153, 0.062587, -0.00206674, 0.0401931, 0.0734209, 0.0933084, 0.193984, 0.0843863, -0.0252561, 0.0719538, -0.124218, 0.0508327, -0.0255364, 0.142134, -0.398441, 0.10088
7, -0.0020998, 0.000838008, -8.62277e-05, 0.000538314, -0.00296126, 0.00159223, -0.00297453, 0.00143247, -0.000322255, 0.00111656, 0.000228676, 0.000786953, 0.00320904, 0.00280114, 0.00220882, 0.00196945, 0.41794, 0.167171, 0.0171626, 0.107146, 0.664314, 0.358011, 0.667291, 0.32227, 0.0641409, 0.222244, -0.0455151, 0.156638, -0.719899, 0.628939, -0.495516, 0.442185
8, -0.00196834, 0.00116056, -0.000153202, 0.000744727, 0.000294391, 0.0042185, -0.00543731, 0.00378841, 0.00147885, 0.00175624, 0.00198689, 0.00123813, 0.0154175, 0.00848472, -0.00152074, 0.00597031, 1.39155, 0.821122, 0.108309, 0.526503, -0.196116, 2.81028, 3.62221, 2.52626, -1.0455, 1.24185, -1.40466, 0.875933, -10.2708, 5.66134, 1.01308, 3.97741
