Centrality, Gamma112_EPD, Gamma112_EPD_err, Gamma132_EPD, Gamma132_EPD_err, Gamma112_EPD1, Gamma112_EPD1_err, Gamma132_EPD1, Gamma132_EPD1_err, Gamma112_EPD_ESE, Gamma112_EPD_ESE_err, Gamma132_EPD_ESE, Gamma132_EPD_ESE_err, Gamma112_EPD1_ESE, Gamma112_EPD1_ESE_err, Gamma132_EPD1_ESE, Gamma132_EPD1_ESE_err, kappa112_EPD, kappa112_EPD_err, kappa132_EPD, kappa132_EPD_err, kappa112_EPD1, kappa112_EPD1_err, kappa132_EPD1, kappa132_EPD1_err, kappa112_EPD_ESE, kappa112_EPD_ESE_err, kappa132_EPD_ESE, kappa132_EPD_ESE_err, kappa112_EPD1_ESE, kappa112_EPD1_ESE_err, kappa132_EPD1_ESE, kappa132_EPD1_ESE_err
0, -0.00129442, 0.0031698, 0.000830322, 0.00202715, -0.0265232, 0.0960652, 0.00962608, 0.089168, 0.197043, 0.218584, 0.174262, 0.116316, 911.249, 10598.8, -2249.78, 46260.3, -0.0252961, 0.0620644, 0.0162265, 0.039692, -1.78017, 6.53369, 0.646075, 5.99699, 3.8507, 4.31146, 3.40551, 2.33113, 61160.5, 712286, -150999, 3.10615e+06
1, 0.0176703, 0.027957, -0.0099427, 0.0178811, -0.0188921, 0.0206407, -0.0567255, 0.0190072, -0.0497195, 0.0234701, -0.0275854, 0.0167417, 0.00199439, 0.0305034, 0.0198878, 0.0206571, 0.627187, 0.995104, -0.352905, 0.636058, -1.5518, 1.74664, -4.65943, 2.00672, -1.76474, 0.859081, -0.979114, 0.605531, 0.16382, 2.50594, 1.63359, 1.7534
2, 0.00166518, 0.00947037, -0.00626536, 0.00605583, 0.00138917, 0.00612968, 0.000699498, 0.00562275, -0.00968674, 0.00992202, -0.00570989, 0.0070076, 0.00825839, 0.0088763, 0.00705007, 0.00626822, 0.11791, 0.670801, -0.443646, 0.43344, 0.189724, 0.837915, 0.0955334, 0.768132, -0.685911, 0.709331, -0.404313, 0.499533, 1.12788, 1.23065, 0.962857, 0.874982
3, -0.00285625, 0.00349696, 0.00159282, 0.00223966, 0.00306629, 0.00240386, 0.0027185, 0.00219418, -0.00480783, 0.00381019, -0.00466822, 0.00269125, -0.00893568, 0.00354232, -0.00849024, 0.00250227, -3.5507, 7.42494, 1.98008, 4.36111, 6.41212, 11.9842, 5.68482, 10.6808, -5.97676, 11.1845, -5.80321, 10.3911, -18.6859, 32.5571, -17.7545, 30.5739
4, 0.00292682, 0.00155035, 0.00165344, 0.000994668, 0.00279059, 0.00118266, -0.00237332, 0.00107531, -0.00114394, 0.00151611, 0.000909231, 0.00107072, -0.00327165, 0.00153336, 0.000439984, 0.00108177, -0.379016, 0.205152, -0.214116, 0.130994, -0.530317, 0.233438, 0.451021, 0.211278, 0.148137, 0.197023, -0.117743, 0.139273, 0.621738, 0.300639, -0.0836136, 0.205818
5, -0.0025065, 0.000859647, -0.000749035, 0.000552333, -0.00283199, 0.000773403, -0.000450872, 0.000700416, 0.000877934, 0.000904191, 0.000156, 0.000638149, 0.000468848, 0.00107394, 0.000400425, 0.000756776, 0.199568, 0.0689481, 0.0596382, 0.0440469, 0.306096, 0.0850188, 0.0487325, 0.0757448, -0.0699011, 0.0720506, -0.0124207, 0.0508121, -0.0506755, 0.116105, -0.04328, 0.0818255
6, -0.00100702, 0.000591229, 1.78352e-05, 0.00038005, -0.000552383, 0.000707581, -0.00146807, 0.000638293, 0.000231362, 0.000680333, 0.0011743, 0.000479706, 0.000200108, 0.00107818, 0.00306779, 0.000758749, 0.106498, 0.0625852, -0.00188617, 0.0401924, 0.0728172, 0.0933069, 0.193527, 0.0843842, -0.0244677, 0.0719516, -0.124188, 0.0508313, -0.0263789, 0.142132, -0.404408, 0.100908
7, -0.00209246, 0.000838022, -8.43221e-05, 0.000538322, -0.00296788, 0.00159225, -0.00264143, 0.00143248, -0.000324554, 0.00111663, 0.000221261, 0.000787007, 0.0031879, 0.00280123, 0.0021086, 0.00196969, 0.416543, 0.167198, 0.0167859, 0.107164, 0.6659, 0.358074, 0.592655, 0.322127, 0.0646086, 0.222294, -0.0440462, 0.156673, -0.715266, 0.629048, -0.473103, 0.442273
8, -0.00194765, 0.00116058, -0.000146835, 0.000744739, 0.000270428, 0.00421857, -0.00504727, 0.00378839, 0.0014799, 0.00175628, 0.00197167, 0.00123817, 0.0153867, 0.00848568, -0.00116209, 0.00597202, 1.37676, 0.821027, 0.103795, 0.526451, -0.180227, 2.81147, 3.36375, 2.52694, -1.04612, 1.24173, -1.39374, 0.875849, -10.2544, 5.66425, 0.774476, 3.98012
